Dataset name,Classifier name,Strategy,f1_score,std,class_of_z,radius,amount in radius
Wine,svc,Leafage: closest enemy,0.92,0.05,0.68,0.75,35.61
Wine,svc,Leafage: closest enemy,0.93,0.04,0.64,0.8,40.93
Wine,svc,Leafage: closest enemy,0.93,0.04,0.61,0.85,45.67
Wine,svc,Leafage: closest enemy,0.92,0.04,0.58,0.9,49.41
Wine,svc,Leafage: closest enemy,0.92,0.04,0.57,0.95,51.73
Wine,svc,Leafage: closest enemy,0.92,0.04,0.56,1.0,54.0
Wine,svc,Leafage: closest enemy,0.85,0.16,0.45,-1,18.09
Wine,svc,Leafage: closest boundary,0.96,0.19,1.0,0.05,1.0
Wine,svc,Leafage: closest boundary,0.96,0.19,1.0,0.1,1.0
Wine,svc,Leafage: closest boundary,0.96,0.19,1.0,0.15,1.0
Wine,svc,Leafage: closest boundary,0.96,0.19,1.0,0.2,1.09
Wine,svc,Leafage: closest boundary,0.95,0.18,0.99,0.25,1.34
Wine,svc,Leafage: closest boundary,0.95,0.18,0.99,0.3,1.98
Wine,svc,Leafage: closest boundary,0.94,0.18,0.98,0.35,3.1
Wine,svc,Leafage: closest boundary,0.92,0.19,0.96,0.4,5.1
Wine,svc,Leafage: closest boundary,0.89,0.21,0.94,0.45,7.64
Wine,svc,Leafage: closest boundary,0.85,0.21,0.91,0.5,11.07
Wine,svc,Leafage: closest boundary,0.85,0.2,0.89,0.55,14.71
Wine,svc,Leafage: closest boundary,0.87,0.17,0.84,0.6,19.08
Wine,svc,Leafage: closest boundary,0.87,0.16,0.79,0.65,24.21
Wine,svc,Leafage: closest boundary,0.9,0.1,0.74,0.7,29.6
Wine,svc,Leafage: closest boundary,0.93,0.05,0.68,0.75,35.61
Wine,svc,Leafage: closest boundary,0.94,0.03,0.64,0.8,40.93
Wine,svc,Leafage: closest boundary,0.94,0.02,0.61,0.85,45.67
Wine,svc,Leafage: closest boundary,0.94,0.02,0.58,0.9,49.41
Wine,svc,Leafage: closest boundary,0.94,0.02,0.57,0.95,51.73
Wine,svc,Leafage: closest boundary,0.94,0.03,0.56,1.0,54.0
Wine,svc,Leafage: closest boundary,0.85,0.16,0.45,-1,18.09
Wine,svc,lime,0.37,0.47,1.0,0.05,1.0
Wine,svc,lime,0.37,0.47,1.0,0.1,1.0
Wine,svc,lime,0.37,0.47,1.0,0.15,1.0
Wine,svc,lime,0.37,0.47,1.0,0.2,1.09
Wine,svc,lime,0.37,0.47,0.99,0.25,1.34
Wine,svc,lime,0.37,0.46,0.99,0.3,1.98
Wine,svc,lime,0.36,0.45,0.98,0.35,3.1
Wine,svc,lime,0.34,0.43,0.96,0.4,5.1
Wine,svc,lime,0.32,0.4,0.94,0.45,7.64
Wine,svc,lime,0.29,0.34,0.91,0.5,11.07
Wine,svc,lime,0.27,0.3,0.89,0.55,14.71
Wine,svc,lime,0.24,0.21,0.84,0.6,19.08
Wine,svc,lime,0.23,0.16,0.79,0.65,24.21
Wine,svc,lime,0.23,0.12,0.74,0.7,29.6
Wine,svc,lime,0.24,0.09,0.68,0.75,35.61
Wine,svc,lime,0.25,0.06,0.64,0.8,40.93
Wine,svc,lime,0.26,0.04,0.61,0.85,45.67
Wine,svc,lime,0.26,0.02,0.58,0.9,49.41
Wine,svc,lime,0.26,0.01,0.57,0.95,51.73
Wine,svc,lime,0.27,0.0,0.56,1.0,54.0
Wine,svc,lime,0.25,0.16,0.45,-1,18.09
Wine,lda,Leafage: closest enemy,0.97,0.14,1.0,0.05,1.0
Wine,lda,Leafage: closest enemy,0.97,0.14,1.0,0.1,1.0
Wine,lda,Leafage: closest enemy,0.97,0.14,1.0,0.15,1.0
Wine,lda,Leafage: closest enemy,0.97,0.14,1.0,0.2,1.09
Wine,lda,Leafage: closest enemy,0.97,0.14,0.99,0.25,1.34
Wine,lda,Leafage: closest enemy,0.96,0.14,0.99,0.3,1.98
Wine,lda,Leafage: closest enemy,0.96,0.14,1.0,0.35,3.1
Wine,lda,Leafage: closest enemy,0.95,0.13,0.98,0.4,5.1
Wine,lda,Leafage: closest enemy,0.94,0.13,0.95,0.45,7.64
Wine,lda,Leafage: closest enemy,0.9,0.15,0.93,0.5,11.07
Wine,lda,Leafage: closest enemy,0.91,0.14,0.91,0.55,14.71
Wine,lda,Leafage: closest enemy,0.91,0.12,0.85,0.6,19.08
Wine,lda,Leafage: closest enemy,0.92,0.09,0.8,0.65,24.21
Wine,lda,Leafage: closest enemy,0.94,0.06,0.73,0.7,29.6
Wine,lda,Leafage: closest enemy,0.95,0.04,0.68,0.75,35.61
Wine,lda,Leafage: closest enemy,0.95,0.03,0.64,0.8,40.93
Wine,lda,Leafage: closest enemy,0.95,0.03,0.6,0.85,45.67
Wine,lda,Leafage: closest enemy,0.95,0.03,0.57,0.9,49.41
Wine,lda,Leafage: closest enemy,0.95,0.03,0.56,0.95,51.73
Wine,lda,Leafage: closest enemy,0.95,0.03,0.55,1.0,54.0
Wine,lda,Leafage: closest enemy,0.93,0.09,0.46,-1,18.16
Wine,lda,Leafage: closest boundary,0.98,0.11,1.0,0.05,1.0
Wine,lda,Leafage: closest boundary,0.98,0.11,1.0,0.1,1.0
Wine,lda,Leafage: closest boundary,0.98,0.11,1.0,0.15,1.0
Wine,lda,Leafage: closest boundary,0.98,0.11,1.0,0.2,1.09
Wine,lda,Leafage: closest boundary,0.98,0.11,0.99,0.25,1.34
Wine,lda,Leafage: closest boundary,0.98,0.11,0.99,0.3,1.98
Wine,lda,Leafage: closest boundary,0.97,0.12,1.0,0.35,3.1
Wine,lda,Leafage: closest boundary,0.96,0.12,0.98,0.4,5.1
Wine,lda,Leafage: closest boundary,0.94,0.13,0.95,0.45,7.64
Wine,lda,Leafage: closest boundary,0.9,0.15,0.93,0.5,11.07
Wine,lda,Leafage: closest boundary,0.91,0.14,0.91,0.55,14.71
Wine,lda,Leafage: closest boundary,0.91,0.12,0.85,0.6,19.08
Wine,lda,Leafage: closest boundary,0.92,0.09,0.8,0.65,24.21
Wine,lda,Leafage: closest boundary,0.94,0.06,0.73,0.7,29.6
