Dataset Name,Class vs Class,Classifier Name,Classifier Variables,Local F1 Score,Separability,Strategy,Amount within,Total test amount,F1 Score method
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,349,1254,0.9259629663302724
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,35,1254,0.9575757575757575
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,40,1254,0.819471308833011
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,527,1254,0.7546356275303644
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,624,1254,0.864910984896722
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,9,1254,0.8831168831168831
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,552,1254,0.4130472885336698
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,609,1254,0.4358799143546991
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,625,1254,0.86181388620413
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,579,1254,0.4247391952309985
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,7,1254,1.0
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,489,1254,0.8554089635459934
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,507,1254,0.9041233299075027
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,407,1254,0.8555827156599904
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,543,1254,0.8419464951972693
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,325,1254,0.8797822870429086
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,69,1254,0.7887755102040815
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,495,1254,0.8528733511668666
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,339,1254,0.8572194356166483
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,28,1254,0.7565217391304347
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,642,1254,0.886425894853087
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,597,1254,0.6445158985351911
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,47,1254,0.9564814814814815
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,611,1254,0.8619604688197402
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,326,1254,0.9100441501103753
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,562,1254,0.7794940629839959
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,680,1254,0.8632227835820012
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,624,1254,0.7619453256058237
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,140,1254,0.8975259844825062
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,666,1254,0.4494216798718258
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,491,1254,0.8595810883466602
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,662,1254,0.8671289115956573
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,684,1254,0.8831145606066024
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,288,1254,0.8090385622055487
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,624,1254,0.8600780334044476
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,36,1254,0.8036363636363637
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,496,1254,0.8581222606689736
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,524,1254,0.7430616848092576
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,501,1254,0.8586846793349169
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,24,1254,0.8736842105263158
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,608,1254,0.880059181325004
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,57,1254,0.922972972972973
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,570,1254,0.764117527407397
